Titulo,Autor,Editorial,Anio,Pais,Prestado
Cuando ya no importe,"Onetti, J.",Punto de Lectura,2008,Argentina,No
"Pobreza, el drama cotidiano. Clave para una nueva gerencia social eficiente.","Kliksberg, B.",Grupo Editorial Norma,1995,Argentina,No
El mundo como supermercado,"Houllebecq, M.",Anagrama,2000,España,No
"Corrupción, crimen y violencia","Schargrodsky, E. ; Cornblit, O. ; Canavese, A.",La Crujía Ediciones,2004,Argentina,No
Nuevas tecnologías y desempleo,"Sylos, P.",Fondo de Cultura Económica,1993,México,No
Sin trabajo: las características del desempleo y sus efectos en la sociedad argentina,"Beccaria, L. ; López, N.",Losada,1996,Argentina,No
Los efectos de las comunicaciones de masas,"Eco, U. ; Friedmann, G. ; Halloran, J.",Editorial Jorge Álvarez,1969,Argentina,No
Periodismo escolar,"Fischer, R.",Editorial Biblioteca,1975,Argentina,No
"Medio ambiente y urbanización: Microempresas, crédito y medio ambiente.",IIED-AL,IIED-AL,1995,Argentina,No
Las verdades que mienten: una análisis de la ideología represiva de los textos para niños,"Bonazzi, M. ; Eco, U.",Editorial Tiempo Contemporáneo,1974,Argentina,No
La opinión pública y la propaganda,"Young, K.",Paidós,1980,Argentina,No
Fin del trabajo: nuevas tecnologías contra puestos de trabajo: el nacimiento de una nueva era,"Rifkin, J.",Paidós,1996,España,No
Un modelo de desarrollo regional: provincia de Buenos Aires,"Hernández, R.",Ediciones Macchi,1996,Argentina,No
Sociología de los medios masivos de comunicación,"McQuail, D.",Paidós,1979,Argentina,No
Revista de Economía: 59.,"Fundación Friedrich Ebert, Fundación Banco de la Provincia de Córdoba",Banco de la provincia de Córdoba,1990,Argentina,No
"El banco mundial: intervención y disciplinamiento. El caso argentino, enseñanzas para América Latina.","Corbalán, M.",Biblos,2002,Argentina,No
El cambio de poder.,"Toffler, A.",Plaza y Janes,1994,España,No
¿Qué son las condiciones y medio ambiente de trabajo?: Propuesta de una nueva perspectiva,"Neffa, J.",Hvmanitas,1987,Argentina,No
Revolución tecnológica y empleo,"Tangelson, O.",Ministerio de la Producción: Instituto provincial del empleo,1993,Argentina,No
Psicoterapia psicodramática,"Bustos, D.",Paidós,1975,Argentina,No
Combates por la memoria: Huellas de la dictadura en la historia,"Lorenz, F.",Capital Intelectual,2007,Argentina,No
Trabajo y familia en el ciclo de vida femenino: el caso de los sectores populares de Buenos Aires,"Jelin, E. ; Feijoó, M.",Estudios CEDES,1980,Argentina,No
Cartas del noviazgo,"Kierkegaard, S.",Siglo Veinte,1979,Argentina,No
Interrupciones II,"Gelman, J.",Libros de Tierra Firme,1986,Argentina,No
Las incubadoras de Microempresas como estrategia de desarrollo local,"Pérez, J. ; Celada, F. ; Sardi, R.",Ministerio de la Producción y el Empleo,1997,Argentina,No
La escena institucional,"Kononovich, B. ; Saidón, O.",Lugar Editorial,1991,Argentina,No
El sector microempresarial,Ministerio de la Producción: Instituto provincial del empleo,Ministerio de la Producción: Instituto provincial del empleo,1989,Argentina,No
Medio ambiente y urbanización: Crisis y participación,IIED-AL,IIED-AL,2004,Argentina,No
Saussure y los fundamentos de la lingüística,"Sazbón, J.",Centro Editor de América Latina,1981,Argentina,No
Reader's nuestro que estás en la tierra: ensayos sobre el imperialismo cultural,"Dorfman, A.",Editorial Nueva Imagen,1980,México,No
Periodismo de investigación,"Secanella, P.",Tecnos,1986,España,No
La semiología,"Guiraud, P.",Siglo XXI,1973,Argentina,No
